Region,Country,Age,Arrivals,Year
South-East Asia,Malaysia,55 - 64,749878,2019
South-East Asia,Malaysia,65 and Over,849626,2019
South-East Asia,Malaysia,Total,612922,2020
South-East Asia,Malaysia,Under 25,96590,2020
South-East Asia,Malaysia,25 - 34,152321,2020
South-East Asia,Malaysia,35 - 44,122032,2020
South-East Asia,Malaysia,45 - 54,108338,2020
South-East Asia,Malaysia,55 - 64,93674,2020
South-East Asia,Malaysia,65 and Over,39967,2020
South-East Asia,Myanmar,Total,263422,2015
South-East Asia,Myanmar,Under 25,51240,2015
South-East Asia,Myanmar,25 - 34,54148,2015
South-East Asia,Myanmar,35 - 44,61411,2015
South-East Asia,Myanmar,45 - 54,52366,2015
South-East Asia,Myanmar,55 - 64,32186,2015
South-East Asia,Myanmar,65 and Over,12071,2015
South-East Asia,Myanmar,Total,363871,2016
South-East Asia,Myanmar,Under 25,79388,2016
South-East Asia,Myanmar,25 - 34,98514,2016
South-East Asia,Myanmar,35 - 44,73287,2016
South-East Asia,Myanmar,45 - 54,58032,2016
South-East Asia,Myanmar,55 - 64,36833,2016
South-East Asia,Myanmar,65 and Over,17817,2016
South-East Asia,Myanmar,Total,387722,2017
South-East Asia,Myanmar,Under 25,76303,2017
South-East Asia,Myanmar,25 - 34,109237,2017
South-East Asia,Myanmar,35 - 44,80421,2017
South-East Asia,Myanmar,45 - 54,62464,2017
South-East Asia,Myanmar,55 - 64,39127,2017
South-East Asia,Myanmar,65 and Over,20170,2017
South-East Asia,Myanmar,Total,379880,2018
South-East Asia,Myanmar,Under 25,75272,2018
South-East Asia,Myanmar,25 - 34,106384,2018
South-East Asia,Myanmar,35 - 44,75933,2018
South-East Asia,Myanmar,45 - 54,60789,2018
South-East Asia,Myanmar,55 - 64,39629,2018
South-East Asia,Myanmar,65 and Over,21873,2018
South-East Asia,Myanmar,Total,389301,2019
South-East Asia,Myanmar,Under 25,77269,2019
South-East Asia,Myanmar,25 - 34,102453,2019
South-East Asia,Myanmar,35 - 44,78892,2019
South-East Asia,Myanmar,45 - 54,64952,2019
South-East Asia,Myanmar,55 - 64,42976,2019
South-East Asia,Myanmar,65 and Over,22759,2019
South-East Asia,Myanmar,Total,54941,2020
South-East Asia,Myanmar,Under 25,9473,2020
South-East Asia,Myanmar,25 - 34,15844,2020
South-East Asia,Myanmar,35 - 44,11077,2020
South-East Asia,Myanmar,45 - 54,8598,2020
South-East Asia,Myanmar,55 - 64,6309,2020
South-East Asia,Myanmar,65 and Over,3640,2020
South-East Asia,Philippines,Total,301297,2015
South-East Asia,Philippines,Under 25,36228,2015
South-East Asia,Philippines,25 - 34,77541,2015
South-East Asia,Philippines,35 - 44,78985,2015
South-East Asia,Philippines,45 - 54,60746,2015
South-East Asia,Philippines,55 - 64,34070,2015
South-East Asia,Philippines,65 and Over,13727,2015
South-East Asia,Philippines,Total,323860,2016
South-East Asia,Philippines,Under 25,50443,2016
South-East Asia,Philippines,25 - 34,102104,2016
South-East Asia,Philippines,35 - 44,71385,2016
South-East Asia,Philippines,45 - 54,49571,2016
South-East Asia,Philippines,55 - 64,33219,2016
South-East Asia,Philippines,65 and Over,17138,2016
South-East Asia,Philippines,Total,361218,2017
South-East Asia,Philippines,Under 25,50622,2017
South-East Asia,Philippines,25 - 34,114005,2017
South-East Asia,Philippines,35 - 44,84754,2017
South-East Asia,Philippines,45 - 54,57447,2017
South-East Asia,Philippines,55 - 64,34769,2017
South-East Asia,Philippines,65 and Over,19621,2017
South-East Asia,Philippines,Total,407832,2018
South-East Asia,Philippines,Under 25,57589,2018
South-East Asia,Philippines,25 - 34,130194,2018
South-East Asia,Philippines,35 - 44,95798,2018
South-East Asia,Philippines,45 - 54,63394,2018
South-East Asia,Philippines,55 - 64,38318,2018
South-East Asia,Philippines,65 and Over,22539,2018
South-East Asia,Philippines,Total,473565,2019
South-East Asia,Philippines,Under 25,70911,2019
South-East Asia,Philippines,25 - 34,155078,2019
South-East Asia,Philippines,35 - 44,105933,2019
South-East Asia,Philippines,45 - 54,68271,2019
South-East Asia,Philippines,55 - 64,44751,2019
South-East Asia,Philippines,65 and Over,28621,2019
South-East Asia,Philippines,Total,68359,2020
South-East Asia,Philippines,Under 25,7452,2020
South-East Asia,Philippines,25 - 34,22964,2020
South-East Asia,Philippines,35 - 44,16933,2020
South-East Asia,Philippines,45 - 54,10202,2020
South-East Asia,Philippines,55 - 64,7098,2020
South-East Asia,Philippines,65 and Over,3710,2020
South-East Asia,Singapore,Total,1074755,2015
South-East Asia,Singapore,Under 25,164801,2015
South-East Asia,Singapore,25 - 34,246017,2015
South-East Asia,Singapore,35 - 44,261964,2015
South-East Asia,Singapore,45 - 54,220208,2015
South-East Asia,Singapore,55 - 64,129863,2015
South-East Asia,Singapore,65 and Over,51902,2015
South-East Asia,Singapore,Total,1163309,2016
South-East Asia,Singapore,Under 25,188005,2016
South-East Asia,Singapore,25 - 34,322793,2016
South-East Asia,Singapore,35 - 44,243992,2016
South-East Asia,Singapore,45 - 54,207236,2016
South-East Asia,Singapore,55 - 64,139752,2016
South-East Asia,Singapore,65 and Over,61531,2016
South-East Asia,Singapore,Total,1259523,2017
South-East Asia,Singapore,Under 25,215076,2017
South-East Asia,Singapore,25 - 34,295008,2017
South-East Asia,Singapore,35 - 44,277058,2017
South-East Asia,Singapore,45 - 54,239411,2017
South-East Asia,Singapore,55 - 64,152684,2017
South-East Asia,Singapore,65 and Over,80286,2017
South-East Asia,Singapore,Total,1168112,2018
South-East Asia,Singapore,Under 25,186935,2018
South-East Asia,Singapore,25 - 34,270407,2018
South-East Asia,Singapore,35 - 44,252168,2018
South-East Asia,Singapore,45 - 54,221315,2018
South-East Asia,Singapore,55 - 64,153799,2018
South-East Asia,Singapore,65 and Over,83488,2018
South-East Asia,Singapore,Total,1150024,2019
South-East Asia,Singapore,Under 25,208544,2019
South-East Asia,Singapore,25 - 34,253622,2019
South-East Asia,Singapore,35 - 44,244883,2019
South-East Asia,Singapore,45 - 54,211412,2019
South-East Asia,Singapore,55 - 64,148950,2019
South-East Asia,Singapore,65 and Over,82613,2019
South-East Asia,Singapore,Total,132511,2020
South-East Asia,Singapore,Under 25,18403,2020
South-East Asia,Singapore,25 - 34,32018,2020
South-East Asia,Singapore,35 - 44,28108,2020
South-East Asia,Singapore,45 - 54,23269,2020
South-East Asia,Singapore,55 - 64,20015,2020
South-East Asia,Singapore,65 and Over,10698,2020
South-East Asia,Vietnam,Total,767643,2015
South-East Asia,Vietnam,Under 25,129167,2015
South-East Asia,Vietnam,25 - 34,227218,2015
South-East Asia,Vietnam,35 - 44,204943,2015
South-East Asia,Vietnam,45 - 54,117926,2015
South-East Asia,Vietnam,55 - 64,69554,2015
South-East Asia,Vietnam,65 and Over,18835,2015
South-East Asia,Vietnam,Total,863807,2016
South-East Asia,Vietnam,Under 25,215640,2016
South-East Asia,Vietnam,25 - 34,270653,2016
South-East Asia,Vietnam,35 - 44,139303,2016
South-East Asia,Vietnam,45 - 54,107187,2016
South-East Asia,Vietnam,55 - 64,85477,2016
South-East Asia,Vietnam,65 and Over,45547,2016
South-East Asia,Vietnam,Total,985695,2017
South-East Asia,Vietnam,Under 25,217673,2017
South-East Asia,Vietnam,25 - 34,341098,2017
South-East Asia,Vietnam,35 - 44,195204,2017
South-East Asia,Vietnam,45 - 54,118590,2017
South-East Asia,Vietnam,55 - 64,80438,2017
South-East Asia,Vietnam,65 and Over,32692,2017
South-East Asia,Vietnam,Total,1053723,2018
South-East Asia,Vietnam,Under 25,220518,2018
South-East Asia,Vietnam,25 - 34,348305,2018
South-East Asia,Vietnam,35 - 44,208113,2018
South-East Asia,Vietnam,45 - 54,131110,2018
South-East Asia,Vietnam,55 - 64,96258,2018
South-East Asia,Vietnam,65 and Over,49419,2018
South-East Asia,Vietnam,Total,1080609,2019
South-East Asia,Vietnam,Under 25,222579,2019
South-East Asia,Vietnam,25 - 34,359659,2019
South-East Asia,Vietnam,35 - 44,217111,2019
South-East Asia,Vietnam,45 - 54,140024,2019
South-East Asia,Vietnam,55 - 64,97277,2019
South-East Asia,Vietnam,65 and Over,43959,2019
South-East Asia,Vietnam,Total,131308,2020
South-East Asia,Vietnam,Under 25,25919,2020
South-East Asia,Vietnam,25 - 34,45778,2020
South-East Asia,Vietnam,35 - 44,26033,2020
South-East Asia,Vietnam,45 - 54,16899,2020
South-East Asia,Vietnam,55 - 64,11689,2020
South-East Asia,Vietnam,65 and Over,4990,2020
North-East Asia,China,Total,7981407,2015
North-East Asia,China,Under 25,892249,2015
North-East Asia,China,25 - 34,2603082,2015
North-East Asia,China,35 - 44,1813040,2015
North-East Asia,China,45 - 54,1375663,2015
North-East Asia,China,55 - 64,966111,2015
North-East Asia,China,65 and Over,331262,2015
North-East Asia,China,Total,8821148,2016
North-East Asia,China,Under 25,1324110,2016
North-East Asia,China,25 - 34,3238695,2016
North-East Asia,China,35 - 44,1680761,2016
North-East Asia,China,45 - 54,1242088,2016
North-East Asia,China,55 - 64,909752,2016
North-East Asia,China,65 and Over,425742,2016
North-East Asia,China,Total,9846818,2017
North-East Asia,China,Under 25,1603723,2017
North-East Asia,China,25 - 34,3155199,2017
North-East Asia,China,35 - 44,1899559,2017
North-East Asia,China,45 - 54,1387184,2017
North-East Asia,China,55 - 64,1208659,2017
North-East Asia,China,65 and Over,592494,2017
North-East Asia,China,Total,10625167,2018
North-East Asia,China,Under 25,1754962,2018
North-East Asia,China,25 - 34,3423026,2018
North-East Asia,China,35 - 44,1982819,2018
North-East Asia,China,45 - 54,1459596,2018
North-East Asia,China,55 - 64,1290364,2018
North-East Asia,China,65 and Over,714400,2018
North-East Asia,China,Total,11138658,2019
North-East Asia,China,Under 25,1812938,2019
North-East Asia,China,25 - 34,3515422,2019
North-East Asia,China,35 - 44,2076326,2019
North-East Asia,China,45 - 54,1520678,2019
North-East Asia,China,55 - 64,1456355,2019
North-East Asia,China,65 and Over,756939,2019
North-East Asia,China,Total,1302137,2020
North-East Asia,China,Under 25,287199,2020
North-East Asia,China,25 - 34,430749,2020
North-East Asia,China,35 - 44,269031,2020
North-East Asia,China,45 - 54,143532,2020
North-East Asia,China,55 - 64,109637,2020
North-East Asia,China,65 and Over,61989,2020
North-East Asia,Hong Kong,Total,708435,2015
North-East Asia,Hong Kong,Under 25,91222,2015
North-East Asia,Hong Kong,25 - 34,145834,2015
North-East Asia,Hong Kong,35 - 44,174682,2015
North-East Asia,Hong Kong,45 - 54,174385,2015
North-East Asia,Hong Kong,55 - 64,92982,2015
North-East Asia,Hong Kong,65 and Over,29330,2015
North-East Asia,Hong Kong,Total,690465,2016
North-East Asia,Hong Kong,Under 25,133727,2016
North-East Asia,Hong Kong,25 - 34,205427,2016
North-East Asia,Hong Kong,35 - 44,139887,2016
North-East Asia,Hong Kong,45 - 54,114740,2016
North-East Asia,Hong Kong,55 - 64,68256,2016
North-East Asia,Hong Kong,65 and Over,28428,2016
North-East Asia,Hong Kong,Total,798460,2017
North-East Asia,Hong Kong,Under 25,142064,2017
North-East Asia,Hong Kong,25 - 34,190984,2017
North-East Asia,Hong Kong,35 - 44,165840,2017
North-East Asia,Hong Kong,45 - 54,150202,2017
North-East Asia,Hong Kong,55 - 64,101059,2017
North-East Asia,Hong Kong,65 and Over,48311,2017
North-East Asia,Hong Kong,Total,1047559,2018
North-East Asia,Hong Kong,Under 25,184252,2018
North-East Asia,Hong Kong,25 - 34,232430,2018
North-East Asia,Hong Kong,35 - 44,213743,2018
North-East Asia,Hong Kong,45 - 54,197323,2018
North-East Asia,Hong Kong,55 - 64,147204,2018
North-East Asia,Hong Kong,65 and Over,72607,2018
North-East Asia,Hong Kong,Total,1090121,2019
North-East Asia,Hong Kong,Under 25,193263,2019
North-East Asia,Hong Kong,25 - 34,240718,2019
North-East Asia,Hong Kong,35 - 44,228664,2019
North-East Asia,Hong Kong,45 - 54,202223,2019
North-East Asia,Hong Kong,55 - 64,151953,2019
North-East Asia,Hong Kong,65 and Over,73300,2019
North-East Asia,Hong Kong,Total,131988,2020
North-East Asia,Hong Kong,Under 25,22724,2020
North-East Asia,Hong Kong,25 - 34,28453,2020
North-East Asia,Hong Kong,35 - 44,27127,2020
North-East Asia,Hong Kong,45 - 54,23466,2020
North-East Asia,Hong Kong,55 - 64,20020,2020
North-East Asia,Hong Kong,65 and Over,10198,2020
North-East Asia,Japan,Total,1349388,2015
North-East Asia,Japan,Under 25,132436,2015
North-East Asia,Japan,25 - 34,192208,2015
North-East Asia,Japan,35 - 44,298411,2015
North-East Asia,Japan,45 - 54,348139,2015
North-East Asia,Japan,55 - 64,250727,2015
North-East Asia,Japan,65 and Over,127467,2015
North-East Asia,Japan,Total,1416903,2016
North-East Asia,Japan,Under 25,179164,2016
North-East Asia,Japan,25 - 34,249148,2016
North-East Asia,Japan,35 - 44,304500,2016
North-East Asia,Japan,45 - 54,331401,2016
North-East Asia,Japan,55 - 64,222140,2016
North-East Asia,Japan,65 and Over,130550,2016
North-East Asia,Japan,Total,1525707,2017
North-East Asia,Japan,Under 25,196348,2017
North-East Asia,Japan,25 - 34,261814,2017
North-East Asia,Japan,35 - 44,314507,2017
North-East Asia,Japan,45 - 54,354703,2017
North-East Asia,Japan,55 - 64,242036,2017
North-East Asia,Japan,65 and Over,156299,2017
North-East Asia,Japan,Total,1642712,2018
North-East Asia,Japan,Under 25,223160,2018
North-East Asia,Japan,25 - 34,287638,2018
North-East Asia,Japan,35 - 44,320040,2018
North-East Asia,Japan,45 - 54,369878,2018
North-East Asia,Japan,55 - 64,263619,2018
North-East Asia,Japan,65 and Over,178377,2018
North-East Asia,Japan,Total,1787185,2019
North-East Asia,Japan,Under 25,265252,2019
North-East Asia,Japan,25 - 34,314285,2019
North-East Asia,Japan,35 - 44,343750,2019
North-East Asia,Japan,45 - 54,400008,2019
North-East Asia,Japan,55 - 64,282234,2019
North-East Asia,Japan,65 and Over,181656,2019
North-East Asia,Japan,Total,314044,2020
North-East Asia,Japan,Under 25,47790,2020
North-East Asia,Japan,25 - 34,47080,2020
North-East Asia,Japan,35 - 44,53269,2020
North-East Asia,Japan,45 - 54,66543,2020
North-East Asia,Japan,55 - 64,56146,2020
North-East Asia,Japan,65 and Over,43216,2020
North-East Asia,Korea,Total,1359211,2015
North-East Asia,Korea,Under 25,191666,2015
North-East Asia,Korea,25 - 34,323384,2015
North-East Asia,Korea,35 - 44,294022,2015
North-East Asia,Korea,45 - 54,279156,2015
North-East Asia,Korea,55 - 64,205896,2015
North-East Asia,Korea,65 and Over,65087,2015
North-East Asia,Korea,Total,1449617,2016
North-East Asia,Korea,Under 25,256996,2016
North-East Asia,Korea,25 - 34,414820,2016
North-East Asia,Korea,35 - 44,272093,2016
North-East Asia,Korea,45 - 54,244925,2016
North-East Asia,Korea,55 - 64,185748,2016
North-East Asia,Korea,65 and Over,75035,2016
North-East Asia,Korea,Total,1698608,2017
North-East Asia,Korea,Under 25,279516,2017
North-East Asia,Korea,25 - 34,397856,2017
North-East Asia,Korea,35 - 44,347807,2017
North-East Asia,Korea,45 - 54,318418,2017
North-East Asia,Korea,55 - 64,255184,2017
North-East Asia,Korea,65 and Over,99827,2017
North-East Asia,Korea,Total,1785147,2018
North-East Asia,Korea,Under 25,272551,2018
North-East Asia,Korea,25 - 34,410975,2018
North-East Asia,Korea,35 - 44,371712,2018
North-East Asia,Korea,45 - 54,333471,2018
North-East Asia,Korea,55 - 64,282490,2018
North-East Asia,Korea,65 and Over,113948,2018
North-East Asia,Korea,Total,1880465,2019
North-East Asia,Korea,Under 25,304440,2019
North-East Asia,Korea,25 - 34,404694,2019
North-East Asia,Korea,35 - 44,379734,2019
North-East Asia,Korea,45 - 54,359352,2019
North-East Asia,Korea,55 - 64,307405,2019
North-East Asia,Korea,65 and Over,124840,2019
North-East Asia,Korea,Total,262313,2020
North-East Asia,Korea,Under 25,43636,2020
North-East Asia,Korea,25 - 34,42711,2020
North-East Asia,Korea,35 - 44,44024,2020
North-East Asia,Korea,45 - 54,55483,2020
North-East Asia,Korea,55 - 64,54647,2020
North-East Asia,Korea,65 and Over,21812,2020
North-East Asia,Taiwan,Total,545560,2015
North-East Asia,Taiwan,Under 25,62935,2015
North-East Asia,Taiwan,25 - 34,141516,2015
North-East Asia,Taiwan,35 - 44,151109,2015
North-East Asia,Taiwan,45 - 54,106190,2015
North-East Asia,Taiwan,55 - 64,63602,2015
North-East Asia,Taiwan,65 and Over,20208,2015
North-East Asia,Taiwan,Total,513528,2016
North-East Asia,Taiwan,Under 25,97634,2016
North-East Asia,Taiwan,25 - 34,144004,2016
North-East Asia,Taiwan,35 - 44,116868,2016
North-East Asia,Taiwan,45 - 54,81275,2016
North-East Asia,Taiwan,55 - 64,50941,2016
North-East Asia,Taiwan,65 and Over,22806,2016
North-East Asia,Taiwan,Total,560441,2017
North-East Asia,Taiwan,Under 25,99524,2017
North-East Asia,Taiwan,25 - 34,145577,2017
North-East Asia,Taiwan,35 - 44,133618,2017
North-East Asia,Taiwan,45 - 54,92847,2017
North-East Asia,Taiwan,55 - 64,60891,2017
North-East Asia,Taiwan,65 and Over,27984,2017
North-East Asia,Taiwan,Total,674172,2018
North-East Asia,Taiwan,Under 25,118268,2018
North-East Asia,Taiwan,25 - 34,174988,2018
North-East Asia,Taiwan,35 - 44,158557,2018
North-East Asia,Taiwan,45 - 54,110478,2018
North-East Asia,Taiwan,55 - 64,73513,2018
North-East Asia,Taiwan,65 and Over,38368,2018
North-East Asia,Taiwan,Total,781674,2019
North-East Asia,Taiwan,Under 25,137848,2019
North-East Asia,Taiwan,25 - 34,194960,2019
North-East Asia,Taiwan,35 - 44,178965,2019
North-East Asia,Taiwan,45 - 54,128729,2019
North-East Asia,Taiwan,55 - 64,92202,2019
North-East Asia,Taiwan,65 and Over,48970,2019
North-East Asia,Taiwan,Total,114275,2020
North-East Asia,Taiwan,Under 25,26648,2020
North-East Asia,Taiwan,25 - 34,20889,2020
North-East Asia,Taiwan,35 - 44,23921,2020
North-East Asia,Taiwan,45 - 54,19416,2020
North-East Asia,Taiwan,55 - 64,14323,2020
North-East Asia,Taiwan,65 and Over,9078,2020
Asia,Others in East Asia,Total,71666,2015
Asia,Others in East Asia,Under 25,13013,2015
