Year,Arrivals,Sex,Country
2017,45908,Female,Others in America
2017,72714,Male,Bangladesh
2017,53095,Female,Bangladesh
2017,956696,Male,India
2017,606182,Female,India
2017,31619,Male,Nepal
2017,23863,Female,Nepal
2017,49868,Male,Pakistan
2017,28388,Female,Pakistan
2017,35907,Male,SriLanka
2017,26790,Female,SriLanka
2017,27415,Male,Others in Asia
2017,23346,Female,Others in Asia
2017,441653,Male,Australia
2017,360581,Female,Australia
2017,52147,Male,NewZealand
2017,48740,Female,NewZealand
2017,4160,Male,Others in Oceania
2017,3757,Female,Others in Oceania
2017,9658,Male,Egypt
2017,8503,Female,Egypt
2017,97724,Male,Israel
2017,87642,Female,Israel
2017,45169,Male,Kuwait
2017,32196,Female,Kuwait
2017,22733,Male,SaudiArabia
2017,12357,Female,SaudiArabia
2017,78831,Male,UnitedArabEmirates
2017,72306,Female,UnitedArabEmirates
2017,172553,Male,Others in Middle East
2017,128124,Female,Others in Middle East
2017,44004,Male,RepublicofSouthAfrica
2017,53067,Female,RepublicofSouthAfrica
2017,47750,Male,Others in Africa
2017,55507,Female,Others in Africa
2018,8663,Male,Brunai
2018,9797,Female,Brunai
2018,434693,Male,Cambodia
2018,516287,Female,Cambodia
2018,270279,Male,Indonesia
2018,374200,Female,Indonesia
2018,808692,Male,Laos
2018,873612,Female,Laos
2018,1861556,Male,Malaysia
2018,2181442,Female,Malaysia
2018,163166,Male,Myanmar
2018,216714,Female,Myanmar
2018,155403,Male,Philippines
2018,252429,Female,Philippines
2018,585265,Male,Singapore
2018,582847,Female,Singapore
2018,438032,Male,Vietnam
2018,615691,Female,Vietnam
2018,4197122,Male,China
2018,6428045,Female,China
2018,456507,Male,HongKong
2018,591052,Female,HongKong
2018,971921,Male,Japan
2018,670791,Female,Japan
2018,825563,Male,Korea
2018,959584,Female,Korea
2018,285352,Male,Taiwan
2018,388820,Female,Taiwan
2018,43137,Male,Others in East
2018,58784,Female,Others in East
2018,63302,Male,Austria
2018,51466,Female,Austria
2018,67171,Male,Belgium
2018,49175,Female,Belgium
2018,93638,Male,Denmark
2018,76406,Female,Denmark
2018,73225,Male,Finland
2018,62159,Female,Finland
2018,392847,Male,France
2018,331503,Female,France
2018,489269,Male,Germany
2018,382916,Female,Germany
2018,31130,Male,Ireland
2018,27547,Female,Ireland
2018,151676,Male,Italy
2018,111839,Female,Italy
2018,124407,Male,Netherlands
2018,102211,Female,Netherlands
2018,76105,Male,Norway
2018,56915,Female,Norway
2018,616855,Male,Russian
2018,849602,Female,Russian
2018,90105,Male,Spain
2018,86492,Female,Spain
2018,169533,Male,Sweden
2018,134673,Female,Sweden
2018,130535,Male,Switzerland
2018,95450,Female,Switzerland
2018,532040,Male,UnitedKingdom
2018,422364,Female,UnitedKingdom
2018,230355,Male,EastEurope
2018,257314,Female,EastEurope
2018,97491,Male,Others in Europe
2018,75979,Female,Others in Europe
2018,19782,Male,Argentina
2018,23703,Female,Argentina
2018,27247,Male,Brazil
2018,29858,Female,Brazil
2018,132208,Male,Canada
2018,120555,Female,Canada
2018,581166,Male,USA
2018,515011,Female,USA
2018,38570,Male,Others in America
2018,45908,Female,Others in America
2018,72714,Male,Bangladesh
2018,53095,Female,Bangladesh
2018,956696,Male,India
2018,606182,Female,India
2018,31619,Male,Nepal
2018,23863,Female,Nepal
2018,49868,Male,Pakistan
2018,28388,Female,Pakistan
2018,35907,Male,SriLanka
2018,26790,Female,SriLanka
2018,27415,Male,Others in Asia
2018,23346,Female,Others in Asia
2018,441653,Male,Australia
2018,360581,Female,Australia
2018,52147,Male,NewZealand
2018,48740,Female,NewZealand
2018,4160,Male,Others in Oceania
2018,3757,Female,Others in Oceania
2018,9658,Male,Egypt
2018,8503,Female,Egypt
2018,97724,Male,Israel
2018,87642,Female,Israel
2018,45169,Male,Kuwait
2018,32196,Female,Kuwait
2018,22733,Male,SaudiArabia
2018,12357,Female,SaudiArabia
2018,78831,Male,UnitedArabEmirates
2018,72306,Female,UnitedArabEmirates
2018,172553,Male,Others in Middle East
2018,128124,Female,Others in Middle East
2018,44004,Male,RepublicofSouthAfrica
2018,53067,Female,RepublicofSouthAfrica
2018,47750,Male,Others in Africa
2018,55507,Female,Others in Africa
2019,10070,Male,Brunai
2019,9788,Female,Brunai
2019,418747,Male,Cambodia
2019,506690,Female,Cambodia
2019,303226,Male,Indonesia
2019,403682,Female,Indonesia
2019,790761,Male,Laos
2019,1066001,Female,Laos
2019,1910097,Male,Malaysia
2019,2364361,Female,Malaysia
2019,171461,Male,Myanmar
2019,217840,Female,Myanmar
2019,182011,Male,Philippines
2019,291554,Female,Philippines
2019,595048,Male,Singapore
2019,554976,Female,Singapore
2019,465919,Male,Vietnam
2019,614690,Female,Vietnam
2019,4418222,Male,China
2019,6720436,Female,China
2019,496244,Male,HongKong
2019,593877,Female,HongKong
2019,1052977,Male,Japan
2019,734208,Female,Japan
2019,920763,Male,Korea
2019,959702,Female,Korea
2019,350144,Male,Taiwan
2019,431530,Female,Taiwan
2019,50907,Male,Others in East
2019,64031,Female,Others in East
2019,62574,Male,Austria
2019,48116,Female,Austria
2019,67056,Male,Belgium
2019,46960,Female,Belgium
2019,88704,Male,Denmark
2019,70822,Female,Denmark
2019,69691,Male,Finland
2019,55799,Female,Finland
2019,392180,Male,France
2019,321225,Female,France
2019,478638,Male,Germany
2019,358288,Female,Germany
2019,30977,Male,Ireland
2019,23367,Female,Ireland
2019,147319,Male,Italy
2019,103551,Female,Italy
2019,129543,Male,Netherlands
2019,100463,Female,Netherlands
2019,76817,Male,Norway
2019,53692,Female,Norway
2019,617304,Male,Russian
2019,864533,Female,Russian
2019,96869,Male,Spain
2019,90100,Female,Spain
2019,158358,Male,Sweden
2019,121093,Female,Sweden
2019,122196,Male,Switzerland
2019,83891,Female,Switzerland
2019,545623,Male,UnitedKingdom
2019,401151,Female,UnitedKingdom
2019,256526,Male,EastEurope
2019,276385,Female,EastEurope
2019,99009,Male,Others in Europe
2019,72400,Female,Others in Europe
2019,13452,Male,Argentina
2019,14731,Female,Argentina
2019,28854,Male,Brazil
2019,30116,Female,Brazil
2019,137443,Male,Canada
2019,115131,Female,Canada
2019,619675,Male,USA
2019,516535,Female,USA
2019,38779,Male,Others in America
2019,45084,Female,Others in America
2019,87585,Male,Bangladesh
2019,52037,Female,Bangladesh
2019,1264136,Male,India
2019,696933,Female,India
2019,37435,Male,Nepal
2019,22993,Female,Nepal
2019,51030,Male,Pakistan
2019,20887,Female,Pakistan
2019,44735,Male,SriLanka
2019,25512,Female,SriLanka
2019,30873,Male,Others in Asia
2019,22821,Female,Others in Asia
2019,435829,Male,Australia
2019,335969,Female,Australia
2019,50763,Male,NewZealand
2019,42977,Female,NewZealand
2019,5040,Male,Others in Oceania
2019,3576,Female,Others in Oceania
2019,11240,Male,Egypt
2019,7770,Female,Egypt
2019,106004,Male,Israel
2019,88077,Female,Israel
2019,50751,Male,Kuwait
2019,33753,Female,Kuwait
2019,25113,Male,SaudiArabia
2019,11670,Female,SaudiArabia
2019,78448,Male,UnitedArabEmirates
2019,67082,Female,UnitedArabEmirates
2019,151951,Male,Others in Middle East
2019,95459,Female,Others in Middle East
