Country,Frequency,Arrivals,Year
Switzerland,First visit,60856,2016
Switzerland,Re-visit,165556,2016
UnitedKingdom,Total,961471,2016
UnitedKingdom,First visit,282139,2016
UnitedKingdom,Re-visit,679332,2016
EastEurope,Total,379153,2016
EastEurope,First visit,163671,2016
EastEurope,Re-visit,215482,2016
Others in Europe,Total,158924,2016
Others in Europe,First visit,65236,2016
Others in Europe,Re-visit,93688,2016
Argentina,Total,46390,2016
Argentina,First visit,21812,2016
Argentina,Re-visit,24578,2016
Brazil,Total,63139,2016
Brazil,First visit,29492,2016
Brazil,Re-visit,33647,2016
Canada,Total,222358,2016
Canada,First visit,78567,2016
Canada,Re-visit,143791,2016
USA,Total,938862,2016
USA,First visit,307573,2016
USA,Re-visit,631289,2016
Others in America,Total,70724,2016
Others in America,First visit,29776,2016
Others in America,Re-visit,40948,2016
Bangladesh,Total,103616,2016
Bangladesh,First visit,23984,2016
Bangladesh,Re-visit,79632,2016
India,Total,1076970,2016
India,First visit,428986,2016
India,Re-visit,647984,2016
Nepal,Total,43170,2016
Nepal,First visit,15960,2016
Nepal,Re-visit,27210,2016
Pakistan,Total,71720,2016
Pakistan,First visit,21112,2016
Pakistan,Re-visit,50608,2016
SriLanka,Total,67876,2016
SriLanka,First visit,22097,2016
SriLanka,Re-visit,45779,2016
Others in Asia,Total,42282,2016
Others in Asia,First visit,6904,2016
Others in Asia,Re-visit,35378,2016
Australia,Total,813017,2016
Australia,First visit,226998,2016
Australia,Re-visit,586019,2016
NewZealand,Total,99402,2016
NewZealand,First visit,30340,2016
NewZealand,Re-visit,69062,2016
Others in Oceania,Total,6119,2016
Others in Oceania,First visit,1842,2016
Others in Oceania,Re-visit,4277,2016
Egypt,Total,24913,2016
Egypt,First visit,9365,2016
Egypt,Re-visit,15548,2016
Israel,Total,161254,2016
Israel,First visit,55880,2016
Israel,Re-visit,105374,2016
Kuwait,Total,68168,2016
Kuwait,First visit,15951,2016
Kuwait,Re-visit,52217,2016
SaudiArabia,Total,33038,2016
SaudiArabia,First visit,13032,2016
SaudiArabia,Re-visit,20006,2016
UnitedArabEmirates,Total,187665,2016
UnitedArabEmirates,First visit,44478,2016
