0,Frequency of visit ,No of Arrival by Frequency of purpose,Year,,,
    Belgium,Re-visit,"73,688","2,016",,,
    Denmark,Total,"163,406","2,016",,,
    Denmark,First visit,"50,954","2,016",,,
    Denmark,Re-visit,"112,452","2,016",,,
    Finland,Total,"131,207","2,016",,,
    Finland,First visit,"38,329","2,016",,,
    Finland,Re-visit,"92,878","2,016",,,
    France,Total,"697,738","2,016",,,
    France,First visit,"263,406","2,016",,,
    France,Re-visit,"434,332","2,016",,,
    Germany,Total,"825,496","2,016",,,
    Germany,First visit,"292,895","2,016",,,
    Germany,Re-visit,"532,601","2,016",,,
    Ireland,Total,"59,557","2,016",,,
    Ireland,First visit,"20,922","2,016",,,
    Ireland,Re-visit,"38,635","2,016",,,
    Italy,Total,"248,903","2,016",,,
    Italy,First visit,"100,423","2,016",,,
    Italy,Re-visit,"148,480","2,016",,,
    Netherlands,Total,"228,443","2,016",,,
    Netherlands,First visit,"78,653","2,016",,,
    Netherlands,Re-visit,"149,790","2,016",,,
    Norway,Total,"134,335","2,016",,,
    Norway,First visit,"32,487","2,016",,,
    Norway,Re-visit,"101,848","2,016",,,
    Russian,Total,"1,085,890","2,016",,,
    Russian,First visit,"388,551","2,016",,,
    Russian,Re-visit,"697,339","2,016",,,
    Spain,Total,"168,264","2,016",,,
    Spain,First visit,"89,529","2,016",,,
    Spain,Re-visit,"78,735","2,016",,,
    Sweden,Total,"329,070","2,016",,,
    Sweden,First visit,"92,917","2,016",,,
    Sweden,Re-visit,"236,153","2,016",,,
    Switzerland,Total,"226,412","2,016",,,
    Switzerland,First visit,"60,856","2,016",,,
    Switzerland,Re-visit,"165,556","2,016",,,
    United Kingdom,Total,"961,471","2,016",,,
    United Kingdom,First visit,"282,139","2,016",,,
    United Kingdom,Re-visit,"679,332","2,016",,,
    East Europe,Total,"379,153","2,016",,,
    East Europe,First visit,"163,671","2,016",,,
    East Europe,Re-visit,"215,482","2,016",,,
    Others in Europe,Total,"158,924","2,016",,,
    Others in Europe,First visit,"65,236","2,016",,,
    Others in Europe,Re-visit,"93,688","2,016",,,
    Argentina,Total,"46,390","2,016",,,
    Argentina,First visit,"21,812","2,016",,,
    Argentina,Re-visit,"24,578","2,016",,,
    Brazil,Total,"63,139","2,016",,,
    Brazil,First visit,"29,492","2,016",,,
    Brazil,Re-visit,"33,647","2,016",,,
    Canada,Total,"222,358","2,016",,,
    Canada,First visit,"78,567","2,016",,,
    Canada,Re-visit,"143,791","2,016",,,
USA,Total,"938,862","2,016",,,
USA,First visit,"307,573","2,016",,,
USA,Re-visit,"631,289","2,016",,,
    Others in America,Total,"70,724","2,016",,,
    Others in America,First visit,"29,776","2,016",,,
    Others in America,Re-visit,"40,948","2,016",,,
