Country of Residence,Mode of Transport,Year,No of Arrival by mode of transport,,,,
    Switzerland,Land,2016,6695,,,,
    Switzerland,Waterway,2016,2361,,,,
    United Kingdom,Air,2016,956052,,,,
    United Kingdom,Land,2016,36725,,,,
    United Kingdom,Waterway,2016,11568,,,,
    East Europe,Air,2016,385252,,,,
    East Europe,Land,2016,20931,,,,
    East Europe,Waterway,2016,3540,,,,
    Others in Europe,Air,2016,164891,,,,
    Others in Europe,Land,2016,5857,,,,
    Others in Europe,Waterway,2016,1364,,,,
    Argentina,Air,2016,42861,,,,
    Argentina,Land,2016,2122,,,,
    Argentina,Waterway,2016,339,,,,
    Brazil,Air,2016,65557,,,,
    Brazil,Land,2016,1608,,,,
    Brazil,Waterway,2016,304,,,,
    Canada,Air,2016,227636,,,,
    Canada,Land,2016,13620,,,,
    Canada,Waterway,2016,3613,,,,
    USA,Air,2016,919876,,,,
    USA,Land,2016,46993,,,,
    USA,Waterway,2016,8774,,,,
    Others in America,Air,2016,70172,,,,
    Others in America,Land,2016,3306,,,,
    Others in America,Waterway,2016,677,,,,
    Bangladesh,Air,2016,99734,,,,
    Bangladesh,Land,2016,473,,,,
    Bangladesh,Waterway,2016,56,,,,
    India,Air,2016,1178653,,,,
    India,Land,2016,14254,,,,
    India,Waterway,2016,1601,,,,
    Nepal,Air,2016,41677,,,,
    Nepal,Land,2016,780,,,,
    Nepal,Waterway,2016,29,,,,
    Pakistan,Air,2016,74290,,,,
    Pakistan,Land,2016,933,,,,
    Pakistan,Waterway,2016,85,,,,
    Sri Lanka,Air,2016,67858,,,,
    Sri Lanka,Land,2016,326,,,,
    Sri Lanka,Waterway,2016,11,,,,
    Others in Asia,Air,2016,42475,,,,
    Others in Asia,Land,2016,312,,,,
    Others in Asia,Waterway,2016,8,,,,
    Australia,Air,2016,765507,,,,
    Australia,Land,2016,20025,,,,
    Australia,Waterway,2016,10838,,,,
    New Zealand,Air,2016,106150,,,,
    New Zealand,Land,2016,3950,,,,
    New Zealand,Waterway,2016,1495,,,,
    Others in Oceania,Air,2016,2696,,,,
    Others in Oceania,Land,2016,221,,,,
    Others in Oceania,Waterway,2016,19,,,,
    Egypt,Air,2016,27993,,,,
    Egypt,Land,2016,97,,,,
    Egypt,Waterway,2016,24,,,,
    Israel,Air,2016,157602,,,,
    Israel,Land,2016,3136,,,,
    Israel,Waterway,2016,841,,,,
    Kuwait,Air,2016,60976,,,,
    Kuwait,Land,2016,578,,,,
    Kuwait,Waterway,2016,9,,,,
    Saudi Arabia,Air,2016,24493,,,,
    Saudi Arabia,Land,2016,256,,,,
    Saudi Arabia,Waterway,2016,85,,,,
    United Arab Emirates,Air,2016,130819,,,,
    United Arab Emirates,Land,2016,117,,,,
    United Arab Emirates,Waterway,2016,5,,,,
    Others in Middle East,Air,2016,339399,,,,
    Others in Middle East,Land,2016,705,,,,
    Others in Middle East,Waterway,2016,84,,,,
    South Africa,Air,2016,76084,,,,
    South Africa,Land,2016,2800,,,,
    South Africa,Waterway,2016,288,,,,
    Others in Africa,Air,2016,91637,,,,
    Others in Africa,Land,2016,1244,,,,
    Others in Africa,Waterway,2016,160,,,,
        Brunai,Air,2017,13519,,,,
        Brunai,Land,2017,707,,,,
        Brunai,Waterway,2017,42,,,,
        Cambodia,Air,2017,224139,,,,
        Cambodia,Land,2017,551372,,,,
        Cambodia,Waterway,2017,65360,,,,
        Indonesia,Air,2017,509549,,,,
        Indonesia,Land,2017,64791,,,,
        Indonesia,Waterway,2017,1770,,,,
        Laos,Air,2017,55168,,,,
        Laos,Land,2017,1465897,,,,
        Laos,Waterway,2017,161022,,,,
        Malaysia,Air,2017,1280052,,,,
        Malaysia,Land,2017,2142882,,,,
        Malaysia,Waterway,2017,71554,,,,
        Myanmar,Air,2017,358684,,,,
        Myanmar,Land,2017,6617,,,,
        Myanmar,Waterway,2017,305,,,,
        Philippines,Air,2017,335718,,,,
        Philippines,Land,2017,43606,,,,
        Philippines,Waterway,2017,1928,,,,
        Singapore,Air,2017,998565,,,,
        Singapore,Land,2017,30965,,,,
        Singapore,Waterway,2017,3117,,,,
        Vietnam,Air,2017,687299,,,,
        Vietnam,Land,2017,201228,,,,
        Vietnam,Waterway,2017,46652,,,,
    China,Air,2017,9651071,,,,
    China,Land,2017,91237,,,,
    China,Waterway,2017,63952,,,,
    Hong Kong,Air,2017,816721,,,,
    Hong Kong,Land,2017,3911,,,,
    Hong Kong,Waterway,2017,432,,,,
    Japan,Air,2017,1520539,,,,
    Japan,Land,2017,21791,,,,
    Japan,Waterway,2017,2112,,,,
    Korea,Air,2017,1661055,,,,
    Korea,Land,2017,43369,,,,
    Korea,Waterway,2017,4224,,,,
    Taiwan,Air,2017,560761,,,,
    Taiwan,Land,2017,11925,,,,
    Taiwan,Waterway,2017,391,,,,
    Others in East Asia,Air,2017,69410,,,,
    Others in East Asia,Land,2017,839,,,,
    Others in East Asia,Waterway,2017,139,,,,
    Austria,Air,2017,101222,,,,
    Austria,Land,2017,2489,,,,
    Austria,Waterway,2017,1073,,,,
    Belgium,Air,2017,106730,,,,
    Belgium,Land,2017,4357,,,,
    Belgium,Waterway,2017,1179,,,,
    Denmark,Air,2017,158347,,,,
    Denmark,Land,2017,2755,,,,
    Denmark,Waterway,2017,818,,,,
    Finland,Air,2017,137731,,,,
    Finland,Land,2017,2092,,,,
    Finland,Waterway,2017,641,,,,
    France,Air,2017,699709,,,,
    France,Land,2017,32893,,,,
    France,Waterway,2017,7588,,,,
    Germany,Air,2017,816674,,,,
    Germany,Land,2017,24089,,,,
    Germany,Waterway,2017,9376,,,,
    Ireland,Air,2017,66001,,,,
    Ireland,Land,2017,2478,,,,
    Ireland,Waterway,2017,535,,,,
    Italy,Air,2017,256152,,,,
    Italy,Land,2017,6556,,,,
    Italy,Waterway,2017,1807,,,,
    Netherlands,Air,2017,212126,,,,
    Netherlands,Land,2017,7350,,,,
    Netherlands,Waterway,2017,2933,,,,
    Norway,Air,2017,125021,,,,
    Norway,Land,2017,2212,,,,
    Norway,Waterway,2017,617,,,,
    Russian,Air,2017,1294004,,,,
    Russian,Land,2017,49363,,,,
    Russian,Waterway,2017,2971,,,,
    Spain,Air,2017,174257,,,,
    Spain,Land,2017,4256,,,,
    Spain,Waterway,2017,1071,,,,
    Sweden,Air,2017,317509,,,,
    Sweden,Land,2017,4901,,,,
    Sweden,Waterway,2017,1326,,,,
    Switzerland,Air,2017,201747,,,,
    Switzerland,Land,2017,5476,,,,
    Switzerland,Waterway,2017,2305,,,,
    United Kingdom,Air,2017,955049,,,,
    United Kingdom,Land,2017,29961,,,,
    United Kingdom,Waterway,2017,9745,,,,
    East Europe,Air,2017,456948,,,,
    East Europe,Land,2017,19597,,,,
    East Europe,Waterway,2017,3211,,,,
    Others in Europe,Air,2017,180841,,,,
    Others in Europe,Land,2017,4661,,,,
    Others in Europe,Waterway,2017,1261,,,,
    Argentina,Air,2017,60399,,,,
    Argentina,Land,2017,2222,,,,
    Argentina,Waterway,2017,383,,,,
    Brazil,Air,2017,76392,,,,
    Brazil,Land,2017,1394,,,,
    Brazil,Waterway,2017,400,,,,
    Canada,Air,2017,245097,,,,
    Canada,Land,2017,10454,,,,
    Canada,Waterway,2017,2943,,,,
    USA,Air,2017,1011163,,,,
    USA,Land,2017,37506,,,,
    USA,Waterway,2017,7754,,,,
    Others in America,Air,2017,82472,,,,
    Others in America,Land,2017,2617,,,,
    Others in America,Waterway,2017,754,,,,
    Bangladesh,Air,2017,121274,,,,
    Bangladesh,Land,2017,461,,,,
    Bangladesh,Waterway,2017,30,,,,
    India,Air,2017,1399353,,,,
    India,Land,2017,13316,,,,
    India,Waterway,2017,2528,,,,
    Nepal,Air,2017,42505,,,,
    Nepal,Land,2017,724,,,,
    Nepal,Waterway,2017,22,,,,
    Pakistan,Air,2017,80428,,,,
    Pakistan,Land,2017,1324,,,,
    Pakistan,Waterway,2017,102,,,,
    Sri Lanka,Air,2017,63005,,,,
    Sri Lanka,Land,2017,237,,,,
    Sri Lanka,Waterway,2017,25,,,,
    Others in Asia,Air,2017,47974,,,,
    Others in Asia,Land,2017,253,,,,
    Others in Asia,Waterway,2017,3,,,,
    Australia,Air,2017,797060,,,,
    Australia,Land,2017,15027,,,,
    Australia,Waterway,2017,5131,,,,
    New Zealand,Air,2017,113649,,,,
    New Zealand,Land,2017,3175,,,,
    New Zealand,Waterway,2017,1138,,,,
    Others in Oceania,Air,2017,3509,,,,
    Others in Oceania,Land,2017,182,,,,
    Others in Oceania,Waterway,2017,23,,,,
    Egypt,Air,2017,23964,,,,
    Egypt,Land,2017,120,,,,
    Egypt,Waterway,2017,16,,,,
    Israel,Air,2017,170195,,,,
    Israel,Land,2017,2676,,,,
    Israel,Waterway,2017,802,,,,
    Kuwait,Air,2017,71904,,,,
    Kuwait,Land,2017,333,,,,
    Kuwait,Waterway,2017,7,,,,
    Saudi Arabia,Air,2017,33312,,,,
    Saudi Arabia,Land,2017,202,,,,
    Saudi Arabia,Waterway,2017,17,,,,
    United Arab Emirates,Air,2017,137102,,,,
    United Arab Emirates,Land,2017,115,,,,
    United Arab Emirates,Waterway,2017,1,,,,
    Others in Middle East,Air,2017,348287,,,,
    Others in Middle East,Land,2017,772,,,,
    Others in Middle East,Waterway,2017,114,,,,
    South Africa,Air,2017,90191,,,,
    South Africa,Land,2017,2803,,,,
    South Africa,Waterway,2017,319,,,,
    Others in Africa,Air,2017,92121,,,,
    Others in Africa,Land,2017,1690,,,,
    Others in Africa,Waterway,2017,109,,,,
        Brunai,Air,2018,13605,,,,
        Brunai,Land,2018,578,,,,
        Brunai,Waterway,2018,49,,,,
        Cambodia,Air,2018,261344,,,,
        Cambodia,Land,2018,611210,,,,
        Cambodia,Waterway,2018,75797,,,,
        Indonesia,Air,2018,569450,,,,
        Indonesia,Land,2018,70923,,,,
        Indonesia,Waterway,2018,3045,,,,
        Laos,Air,2018,62013,,,,
        Laos,Land,2018,1440243,,,,
        Laos,Waterway,2018,162200,,,,
        Malaysia,Air,2018,1357859,,,,
        Malaysia,Land,2018,2591815,,,,
        Malaysia,Waterway,2018,82465,,,,
        Myanmar,Air,2018,360718,,,,
        Myanmar,Land,2018,6925,,,,
        Myanmar,Waterway,2018,516,,,,
        Philippines,Air,2018,385555,,,,
        Philippines,Land,2018,45016,,,,
        Philippines,Waterway,2018,1482,,,,
        Singapore,Air,2018,1037945,,,,
        Singapore,Land,2018,24882,,,,
        Singapore,Waterway,2018,3392,,,,
        Vietnam,Air,2018,785034,,,,
        Vietnam,Land,2018,197572,,,,
        Vietnam,Waterway,2018,44654,,,,
    China,Air,2018,10297446,,,,
    China,Land,2018,74992,,,,
    China,Waterway,2018,161902,,,,
    Hong Kong,Air,2018,1011190,,,,
    Hong Kong,Land,2018,3665,,,,
    Hong Kong,Waterway,2018,744,,,,
    Japan,Air,2018,1632891,,,,
    Japan,Land,2018,20670,,,,
    Japan,Waterway,2018,2435,,,,
    Korea,Air,2018,1751362,,,,
    Korea,Land,2018,40987,,,,
    Korea,Waterway,2018,3751,,,,
    Taiwan,Air,2018,673744,,,,
    Taiwan,Land,2018,12909,,,,
    Taiwan,Waterway,2018,931,,,,
    Others in East Asia,Air,2018,87460,,,,
    Others in East Asia,Land,2018,915,,,,
    Others in East Asia,Waterway,2018,126,,,,
    Austria,Air,2018,113056,,,,
    Austria,Land,2018,2396,,,,
    Austria,Waterway,2018,1197,,,,
    Belgium,Air,2018,108880,,,,
    Belgium,Land,2018,4034,,,,
    Belgium,Waterway,2018,1354,,,,
    Denmark,Air,2018,165809,,,,
    Denmark,Land,2018,2765,,,,
    Denmark,Waterway,2018,791,,,,
    Finland,Air,2018,138413,,,,
    Finland,Land,2018,1930,,,,
    Finland,Waterway,2018,615,,,,
    France,Air,2018,711465,,,,
    France,Land,2018,30845,,,,
    France,Waterway,2018,7198,,,,
    Germany,Air,2018,852919,,,,
    Germany,Land,2018,22160,,,,
    Germany,Waterway,2018,11371,,,,
    Ireland,Air,2018,66224,,,,
    Ireland,Land,2018,2203,,,,
    Ireland,Waterway,2018,639,,,,
    Italy,Air,2018,271992,,,,
    Italy,Land,2018,6050,,,,
    Italy,Waterway,2018,1849,,,,
    Netherlands,Air,2018,226586,,,,
    Netherlands,Land,2018,6703,,,,
    Netherlands,Waterway,2018,2943,,,,
    Norway,Air,2018,125849,,,,
    Norway,Land,2018,2324,,,,
    Norway,Waterway,2018,664,,,,
    Russian,Air,2018,1416946,,,,
    Russian,Land,2018,52396,,,,
    Russian,Waterway,2018,3423,,,,
    Spain,Air,2018,176884,,,,
    Spain,Land,2018,3887,,,,
    Spain,Waterway,2018,1102,,,,
    Sweden,Air,2018,306097,,,,
    Sweden,Land,2018,4504,,,,
    Sweden,Waterway,2018,1336,,,,
    Switzerland,Air,2018,200224,,,,
    Switzerland,Land,2018,4842,,,,
    Switzerland,Waterway,2018,2390,,,,
    United Kingdom,Air,2018,950923,,,,
    United Kingdom,Land,2018,26155,,,,
    United Kingdom,Waterway,2018,9588,,,,
    East Europe,Air,2018,500128,,,,
    East Europe,Land,2018,19384,,,,
    East Europe,Waterway,2018,3260,,,,
    Others in Europe,Air,2018,179776,,,,
    Others in Europe,Land,2018,4193,,,,
    Others in Europe,Waterway,2018,1193,,,,
    Argentina,Air,2018,42196,,,,
