Column1,Region,Country of Residence,Age Group,No of Arrivals,Year,,,,Age group,No. of Arrival
1139,Northern Europe,Sweden,45 - 54,"59,994",2015,,,,,
1140,Northern Europe,Sweden,55 - 64,"39,987",2015,,,,,
1141,Northern Europe,Sweden,65 and Over,"27,049",2015,,,,,
1142,Northern Europe,Sweden,Total,"329,070",2016,,,,,
1143,Northern Europe,Sweden,Under 25,"87,708",2016,,,,,
1144,Northern Europe,Sweden,25 - 34,"87,308",2016,,,,,
1145,Northern Europe,Sweden,35 - 44,"47,583",2016,,,,,
1146,Northern Europe,Sweden,45 - 54,"44,161",2016,,,,,
1147,Northern Europe,Sweden,55 - 64,"34,807",2016,,,,,
1148,Northern Europe,Sweden,65 and Over,"27,503",2016,,,,,
1149,Northern Europe,Sweden,Total,"317,797",2017,,,,,
1150,Northern Europe,Sweden,Under 25,"84,710",2017,,,,,
1151,Northern Europe,Sweden,25 - 34,"61,193",2017,,,,,
1152,Northern Europe,Sweden,35 - 44,"49,870",2017,,,,,
1153,Northern Europe,Sweden,45 - 54,"51,488",2017,,,,,
1154,Northern Europe,Sweden,55 - 64,"38,498",2017,,,,,
1155,Northern Europe,Sweden,65 and Over,"32,038",2017,,,,,
1156,Northern Europe,Sweden,Total,"304,206",2018,,,,,
1157,Northern Europe,Sweden,Under 25,"74,344",2018,,,,,
1158,Northern Europe,Sweden,25 - 34,"50,667",2018,,,,,
1159,Northern Europe,Sweden,35 - 44,"39,929",2018,,,,,
1160,Northern Europe,Sweden,45 - 54,"53,052",2018,,,,,
1161,Northern Europe,Sweden,55 - 64,"47,537",2018,,,,,
1162,Northern Europe,Sweden,65 and Over,"38,677",2018,,,,,
1163,Northern Europe,Sweden,Total,"279,451",2019,,,,,
1164,Northern Europe,Sweden,Under 25,"66,722",2019,,,,,
1165,Northern Europe,Sweden,25 - 34,"45,333",2019,,,,,
1166,Northern Europe,Sweden,35 - 44,"37,242",2019,,,,,
1167,Northern Europe,Sweden,45 - 54,"49,146",2019,,,,,
1168,Northern Europe,Sweden,55 - 64,"44,332",2019,,,,,
1169,Northern Europe,Sweden,65 and Over,"36,676",2019,,,,,
1170,Northern Europe,Sweden,Total,"108,921",2020,,,,,
1171,Northern Europe,Sweden,Under 25,"25,260",2020,,,,,
1172,Northern Europe,Sweden,25 - 34,"17,596",2020,,,,,
1173,Northern Europe,Sweden,35 - 44,"14,697",2020,,,,,
1174,Northern Europe,Sweden,45 - 54,"17,046",2020,,,,,
1175,Northern Europe,Sweden,55 - 64,"17,710",2020,,,,,
1176,Northern Europe,Sweden,65 and Over,"16,612",2020,,,,,
1177,Western Europe,Switzerland,Total,"219,967",2015,,,,,
1178,Western Europe,Switzerland,Under 25,"28,520",2015,,,,,
1179,Western Europe,Switzerland,25 - 34,"49,739",2015,,,,,
1180,Western Europe,Switzerland,35 - 44,"38,937",2015,,,,,
1181,Western Europe,Switzerland,45 - 54,"49,017",2015,,,,,
1182,Western Europe,Switzerland,55 - 64,"36,344",2015,,,,,
1183,Western Europe,Switzerland,65 and Over,"17,410",2015,,,,,
1184,Western Europe,Switzerland,Total,"226,412",2016,,,,,
1185,Western Europe,Switzerland,Under 25,"42,286",2016,,,,,
1186,Western Europe,Switzerland,25 - 34,"58,826",2016,,,,,
1187,Western Europe,Switzerland,35 - 44,"32,983",2016,,,,,
1188,Western Europe,Switzerland,45 - 54,"37,095",2016,,,,,
1189,Western Europe,Switzerland,55 - 64,"32,551",2016,,,,,
1190,Western Europe,Switzerland,65 and Over,"22,671",2016,,,,,
1191,Western Europe,Switzerland,Total,"227,152",2017,,,,,
1192,Western Europe,Switzerland,Under 25,"40,577",2017,,,,,
1193,Western Europe,Switzerland,25 - 34,"57,944",2017,,,,,
1194,Western Europe,Switzerland,35 - 44,"32,969",2017,,,,,
1195,Western Europe,Switzerland,45 - 54,"38,892",2017,,,,,
1196,Western Europe,Switzerland,55 - 64,"33,595",2017,,,,,
1197,Western Europe,Switzerland,65 and Over,"23,175",2017,,,,,
1198,Western Europe,Switzerland,Total,"225,985",2018,,,,,
1199,Western Europe,Switzerland,Under 25,"38,072",2018,,,,,
1200,Western Europe,Switzerland,25 - 34,"51,740",2018,,,,,
1201,Western Europe,Switzerland,35 - 44,"33,075",2018,,,,,
1202,Western Europe,Switzerland,45 - 54,"40,061",2018,,,,,
1203,Western Europe,Switzerland,55 - 64,"37,329",2018,,,,,
1204,Western Europe,Switzerland,65 and Over,"25,708",2018,,,,,
1205,Western Europe,Switzerland,Total,"206,087",2019,,,,,
1206,Western Europe,Switzerland,Under 25,"34,915",2019,,,,,
1207,Western Europe,Switzerland,25 - 34,"45,713",2019,,,,,
1208,Western Europe,Switzerland,35 - 44,"30,632",2019,,,,,
1209,Western Europe,Switzerland,45 - 54,"36,052",2019,,,,,
1210,Western Europe,Switzerland,55 - 64,"34,469",2019,,,,,
1211,Western Europe,Switzerland,65 and Over,"24,306",2019,,,,,
1212,Western Europe,Switzerland,Total,"54,006",2020,,,,,
1213,Western Europe,Switzerland,Under 25,"6,779",2020,,,,,
1214,Western Europe,Switzerland,25 - 34,"11,240",2020,,,,,
1215,Western Europe,Switzerland,35 - 44,"7,008",2020,,,,,
1216,Western Europe,Switzerland,45 - 54,"8,374",2020,,,,,
1217,Western Europe,Switzerland,55 - 64,"10,846",2020,,,,,
1218,Western Europe,Switzerland,65 and Over,"9,759",2020,,,,,
1219,Northern Europe,United Kingdom,Total,"896,591",2015,,,,,
1220,Northern Europe,United Kingdom,Under 25,"137,131",2015,,,,,
1221,Northern Europe,United Kingdom,25 - 34,"223,943",2015,,,,,
1222,Northern Europe,United Kingdom,35 - 44,"158,882",2015,,,,,
1223,Northern Europe,United Kingdom,45 - 54,"179,141",2015,,,,,
1224,Northern Europe,United Kingdom,55 - 64,"128,603",2015,,,,,
1225,Northern Europe,United Kingdom,65 and Over,"68,891",2015,,,,,
1226,Northern Europe,United Kingdom,Total,"961,471",2016,,,,,
1227,Northern Europe,United Kingdom,Under 25,"193,087",2016,,,,,
1228,Northern Europe,United Kingdom,25 - 34,"251,118",2016,,,,,
1229,Northern Europe,United Kingdom,35 - 44,"137,936",2016,,,,,
1230,Northern Europe,United Kingdom,45 - 54,"158,253",2016,,,,,
1231,Northern Europe,United Kingdom,55 - 64,"131,255",2016,,,,,
1232,Northern Europe,United Kingdom,65 and Over,"89,822",2016,,,,,
1233,Northern Europe,United Kingdom,Total,"945,061",2017,,,,,
1234,Northern Europe,United Kingdom,Under 25,"177,352",2017,,,,,
1235,Northern Europe,United Kingdom,25 - 34,"240,248",2017,,,,,
1236,Northern Europe,United Kingdom,35 - 44,"137,374",2017,,,,,
1237,Northern Europe,United Kingdom,45 - 54,"162,209",2017,,,,,
1238,Northern Europe,United Kingdom,55 - 64,"136,764",2017,,,,,
1239,Northern Europe,United Kingdom,65 and Over,"91,114",2017,,,,,
1240,Northern Europe,United Kingdom,Total,"954,404",2018,,,,,
1241,Northern Europe,United Kingdom,Under 25,"161,412",2018,,,,,
1242,Northern Europe,United Kingdom,25 - 34,"226,485",2018,,,,,
1243,Northern Europe,United Kingdom,35 - 44,"142,880",2018,,,,,
1244,Northern Europe,United Kingdom,45 - 54,"173,184",2018,,,,,
1245,Northern Europe,United Kingdom,55 - 64,"148,206",2018,,,,,
1246,Northern Europe,United Kingdom,65 and Over,"102,237",2018,,,,,
1247,Northern Europe,United Kingdom,Total,"946,774",2019,,,,,
1248,Northern Europe,United Kingdom,Under 25,"166,325",2019,,,,,
1249,Northern Europe,United Kingdom,25 - 34,"207,027",2019,,,,,
1250,Northern Europe,United Kingdom,35 - 44,"141,943",2019,,,,,
1251,Northern Europe,United Kingdom,45 - 54,"166,005",2019,,,,,
1252,Northern Europe,United Kingdom,55 - 64,"155,929",2019,,,,,
1253,Northern Europe,United Kingdom,65 and Over,"109,545",2019,,,,,
1254,Northern Europe,United Kingdom,Total,"215,861",2020,,,,,
1255,Northern Europe,United Kingdom,Under 25,"24,361",2020,,,,,
1256,Northern Europe,United Kingdom,25 - 34,"45,582",2020,,,,,
1257,Northern Europe,United Kingdom,35 - 44,"32,632",2020,,,,,
1258,Northern Europe,United Kingdom,45 - 54,"34,739",2020,,,,,
1259,Northern Europe,United Kingdom,55 - 64,"43,906",2020,,,,,
1260,Northern Europe,United Kingdom,65 and Over,"34,641",2020,,,,,
1261,East Europe,East Europe,Total,"346,352",2015,,,,,
1262,East Europe,East Europe,Under 25,"47,965",2015,,,,,
1263,East Europe,East Europe,25 - 34,"108,346",2015,,,,,
1264,East Europe,East Europe,35 - 44,"90,842",2015,,,,,
1265,East Europe,East Europe,45 - 54,"58,076",2015,,,,,
1266,East Europe,East Europe,55 - 64,"33,239",2015,,,,,
1267,East Europe,East Europe,65 and Over,"7,884",2015,,,,,
1268,East Europe,East Europe,Total,"379,153",2016,,,,,
1269,East Europe,East Europe,Under 25,"73,668",2016,,,,,
1270,East Europe,East Europe,25 - 34,"139,838",2016,,,,,
1271,East Europe,East Europe,35 - 44,"79,374",2016,,,,,
1272,East Europe,East Europe,45 - 54,"47,057",2016,,,,,
1273,East Europe,East Europe,55 - 64,"28,354",2016,,,,,
1274,East Europe,East Europe,65 and Over,"10,862",2016,,,,,
1275,East Europe,East Europe,Total,"445,521",2017,,,,,
1276,East Europe,East Europe,Under 25,"70,834",2017,,,,,
1277,East Europe,East Europe,25 - 34,"162,741",2017,,,,,
1278,East Europe,East Europe,35 - 44,"102,561",2017,,,,,
1279,East Europe,East Europe,45 - 54,"61,006",2017,,,,,
1280,East Europe,East Europe,55 - 64,"35,063",2017,,,,,
1281,East Europe,East Europe,65 and Over,"13,316",2017,,,,,
1282,East Europe,East Europe,Total,"487,669",2018,,,,,
1283,East Europe,East Europe,Under 25,"77,081",2018,,,,,
1284,East Europe,East Europe,25 - 34,"164,883",2018,,,,,
1285,East Europe,East Europe,35 - 44,"112,719",2018,,,,,
1286,East Europe,East Europe,45 - 54,"74,038",2018,,,,,
1287,East Europe,East Europe,55 - 64,"42,221",2018,,,,,
1288,East Europe,East Europe,65 and Over,"16,727",2018,,,,,
1289,East Europe,East Europe,Total,"532,911",2019,,,,,
1290,East Europe,East Europe,Under 25,"85,530",2019,,,,,
1291,East Europe,East Europe,25 - 34,"166,871",2019,,,,,
1292,East Europe,East Europe,35 - 44,"125,932",2019,,,,,
1293,East Europe,East Europe,45 - 54,"87,461",2019,,,,,
1294,East Europe,East Europe,55 - 64,"47,280",2019,,,,,
1295,East Europe,East Europe,65 and Over,"19,837",2019,,,,,
1296,East Europe,East Europe,Total,"211,106",2020,,,,,
1297,East Europe,East Europe,Under 25,"33,877",2020,,,,,
1298,East Europe,East Europe,25 - 34,"56,834",2020,,,,,
1299,East Europe,East Europe,35 - 44,"50,592",2020,,,,,
1300,East Europe,East Europe,45 - 54,"39,002",2020,,,,,
1301,East Europe,East Europe,55 - 64,"20,833",2020,,,,,
1302,East Europe,East Europe,65 and Over,"9,968",2020,,,,,
1303,Europe,Others in Europe,Total,"195,564",2015,,,,,
1304,Europe,Others in Europe,Under 25,"28,464",2015,,,,,
1305,Europe,Others in Europe,25 - 34,"58,043",2015,,,,,
1306,Europe,Others in Europe,35 - 44,"47,597",2015,,,,,
1307,Europe,Others in Europe,45 - 54,"32,844",2015,,,,,
1308,Europe,Others in Europe,55 - 64,"20,755",2015,,,,,
1309,Europe,Others in Europe,65 and Over,"7,861",2015,,,,,
1310,Europe,Others in Europe,Total,"158,924",2016,,,,,
1311,Europe,Others in Europe,Under 25,"25,571",2016,,,,,
1312,Europe,Others in Europe,25 - 34,"52,788",2016,,,,,
1313,Europe,Others in Europe,35 - 44,"36,239",2016,,,,,
1314,Europe,Others in Europe,45 - 54,"24,106",2016,,,,,
1315,Europe,Others in Europe,55 - 64,"14,020",2016,,,,,
1316,Europe,Others in Europe,65 and Over,"6,200",2016,,,,,
1317,Europe,Others in Europe,Total,"172,742",2017,,,,,
1318,Europe,Others in Europe,Under 25,"21,040",2017,,,,,
1319,Europe,Others in Europe,25 - 34,"57,601",2017,,,,,
1320,Europe,Others in Europe,35 - 44,"41,995",2017,,,,,
1321,Europe,Others in Europe,45 - 54,"27,540",2017,,,,,
1322,Europe,Others in Europe,55 - 64,"16,664",2017,,,,,
1323,Europe,Others in Europe,65 and Over,"7,902",2017,,,,,
1324,Europe,Others in Europe,Total,"173,470",2018,,,,,
1325,Europe,Others in Europe,Under 25,"20,891",2018,,,,,
1326,Europe,Others in Europe,25 - 34,"56,019",2018,,,,,
1327,Europe,Others in Europe,35 - 44,"40,834",2018,,,,,
1328,Europe,Others in Europe,45 - 54,"28,995",2018,,,,,
1329,Europe,Others in Europe,55 - 64,"18,028",2018,,,,,
1330,Europe,Others in Europe,65 and Over,"8,703",2018,,,,,
1331,Europe,Others in Europe,Total,"171,409",2019,,,,,
1332,Europe,Others in Europe,Under 25,"21,916",2019,,,,,
1333,Europe,Others in Europe,25 - 34,"51,832",2019,,,,,
1334,Europe,Others in Europe,35 - 44,"40,401",2019,,,,,
1335,Europe,Others in Europe,45 - 54,"29,357",2019,,,,,
1336,Europe,Others in Europe,55 - 64,"18,034",2019,,,,,
1337,Europe,Others in Europe,65 and Over,"9,869",2019,,,,,
1338,Europe,Others in Europe,Total,"47,166",2020,,,,,
1339,Europe,Others in Europe,Under 25,"4,881",2020,,,,,
1340,Europe,Others in Europe,25 - 34,"13,095",2020,,,,,
1341,Europe,Others in Europe,35 - 44,"11,483",2020,,,,,
1342,Europe,Others in Europe,45 - 54,"8,516",2020,,,,,
1343,Europe,Others in Europe,55 - 64,"5,903",2020,,,,,
1344,Europe,Others in Europe,65 and Over,"3,288",2020,,,,,
1345,America,Argentina,Total,"28,050",2015,,,,,
1346,America,Argentina,Under 25,"2,926",2015,,,,,
1347,America,Argentina,25 - 34,"12,596",2015,,,,,
1348,America,Argentina,35 - 44,"5,763",2015,,,,,
1349,America,Argentina,45 - 54,"2,687",2015,,,,,
1350,America,Argentina,55 - 64,"2,840",2015,,,,,
1351,America,Argentina,65 and Over,"1,238",2015,,,,,
1352,America,Argentina,Total,"46,390",2016,,,,,
1353,America,Argentina,Under 25,"6,110",2016,,,,,
1354,America,Argentina,25 - 34,"22,109",2016,,,,,
1355,America,Argentina,35 - 44,"7,816",2016,,,,,
1356,America,Argentina,45 - 54,"3,761",2016,,,,,
1357,America,Argentina,55 - 64,"4,053",2016,,,,,
1358,America,Argentina,65 and Over,"2,541",2016,,,,,
1359,America,Argentina,Total,"62,738",2017,,,,,
1360,America,Argentina,Under 25,"6,638",2017,,,,,
1361,America,Argentina,25 - 34,"28,956",2017,,,,,
1362,America,Argentina,35 - 44,"11,220",2017,,,,,
1363,America,Argentina,45 - 54,"5,795",2017,,,,,
1364,America,Argentina,55 - 64,"6,183",2017,,,,,
1365,America,Argentina,65 and Over,"3,946",2017,,,,,
1366,America,Argentina,Total,"43,485",2018,,,,,
1367,America,Argentina,Under 25,"4,930",2018,,,,,
1368,America,Argentina,25 - 34,"19,733",2018,,,,,
1369,America,Argentina,35 - 44,"7,728",2018,,,,,
1370,America,Argentina,45 - 54,"4,147",2018,,,,,
1371,America,Argentina,55 - 64,"4,344",2018,,,,,
1372,America,Argentina,65 and Over,"2,603",2018,,,,,
1373,America,Argentina,Total,"28,183",2019,,,,,
1374,America,Argentina,Under 25,"3,096",2019,,,,,
1375,America,Argentina,25 - 34,"12,227",2019,,,,,
1376,America,Argentina,35 - 44,"5,343",2019,,,,,
1377,America,Argentina,45 - 54,"2,842",2019,,,,,
1378,America,Argentina,55 - 64,"2,757",2019,,,,,
1379,America,Argentina,65 and Over,"1,918",2019,,,,,
1380,America,Argentina,Total,"12,461",2020,,,,,
1381,America,Argentina,Under 25,"1,762",2020,,,,,
1382,America,Argentina,25 - 34,"4,946",2020,,,,,
1383,America,Argentina,35 - 44,"2,491",2020,,,,,
1384,America,Argentina,45 - 54,"1,505",2020,,,,,
1385,America,Argentina,55 - 64,"1,209",2020,,,,,
1386,America,Argentina,65 and Over,548,2020,,,,,
1387,America,Brazil,Total,"44,414",2015,,,,,
1388,America,Brazil,Under 25,"5,184",2015,,,,,
1389,America,Brazil,25 - 34,"17,115",2015,,,,,
1390,America,Brazil,35 - 44,"10,069",2015,,,,,
1391,America,Brazil,45 - 54,"5,366",2015,,,,,
1392,America,Brazil,55 - 64,"4,994",2015,,,,,
1393,America,Brazil,65 and Over,"1,686",2015,,,,,
1394,America,Brazil,Total,"63,139",2016,,,,,
1395,America,Brazil,Under 25,"9,414",2016,,,,,
1396,America,Brazil,25 - 34,"27,989",2016,,,,,
1397,America,Brazil,35 - 44,"12,992",2016,,,,,
1398,America,Brazil,45 - 54,"5,546",2016,,,,,
1399,America,Brazil,55 - 64,"4,772",2016,,,,,
1400,America,Brazil,65 and Over,"2,426",2016,,,,,
1401,America,Brazil,Total,"71,349",2017,,,,,
1402,America,Brazil,Under 25,"8,202",2017,,,,,
1403,America,Brazil,25 - 34,"29,411",2017,,,,,
1404,America,Brazil,35 - 44,"15,696",2017,,,,,
1405,America,Brazil,45 - 54,"7,268",2017,,,,,
1406,America,Brazil,55 - 64,"6,826",2017,,,,,
1407,America,Brazil,65 and Over,"3,946",2017,,,,,
1408,America,Brazil,Total,"57,105",2018,,,,,
1409,America,Brazil,Under 25,"6,009",2018,,,,,
1410,America,Brazil,25 - 34,"22,535",2018,,,,,
1411,America,Brazil,35 - 44,"12,256",2018,,,,,
1412,America,Brazil,45 - 54,"6,825",2018,,,,,
1413,America,Brazil,55 - 64,"5,803",2018,,,,,
1414,America,Brazil,65 and Over,"3,677",2018,,,,,
1415,America,Brazil,Total,"58,970",2019,,,,,
1416,America,Brazil,Under 25,"6,488",2019,,,,,
1417,America,Brazil,25 - 34,"23,416",2019,,,,,
1418,America,Brazil,35 - 44,"13,451",2019,,,,,
1419,America,Brazil,45 - 54,"6,693",2019,,,,,
1420,America,Brazil,55 - 64,"5,320",2019,,,,,
1421,America,Brazil,65 and Over,"3,602",2019,,,,,
1422,America,Brazil,Total,"18,200",2020,,,,,
1423,America,Brazil,Under 25,"2,280",2020,,,,,
1424,America,Brazil,25 - 34,"6,136",2020,,,,,
1425,America,Brazil,35 - 44,"4,232",2020,,,,,
1426,America,Brazil,45 - 54,"2,219",2020,,,,,
1427,America,Brazil,55 - 64,"2,139",2020,,,,,
1428,America,Brazil,65 and Over,"1,194",2020,,,,,
1429,America,Canada,Total,"210,097",2015,,,,,
1430,America,Canada,Under 25,"31,644",2015,,,,,
1431,America,Canada,25 - 34,"59,492",2015,,,,,
1432,America,Canada,35 - 44,"32,175",2015,,,,,
1433,America,Canada,45 - 54,"34,772",2015,,,,,
1434,America,Canada,55 - 64,"33,275",2015,,,,,
1435,America,Canada,65 and Over,"18,739",2015,,,,,
1436,America,Canada,Total,"222,358",2016,,,,,
1437,America,Canada,Under 25,"47,357",2016,,,,,
1438,America,Canada,25 - 34,"66,322",2016,,,,,
1439,America,Canada,35 - 44,"31,059",2016,,,,,
1440,America,Canada,45 - 54,"28,541",2016,,,,,
1441,America,Canada,55 - 64,"29,691",2016,,,,,
1442,America,Canada,65 and Over,"19,388",2016,,,,,
1443,America,Canada,Total,"227,069",2017,,,,,
1444,America,Canada,Under 25,"44,993",2017,,,,,
1445,America,Canada,25 - 34,"61,983",2017,,,,,
1446,America,Canada,35 - 44,"30,762",2017,,,,,
1447,America,Canada,45 - 54,"30,572",2017,,,,,
1448,America,Canada,55 - 64,"34,194",2017,,,,,
1449,America,Canada,65 and Over,"24,565",2017,,,,,
1450,America,Canada,Total,"252,763",2018,,,,,
1451,America,Canada,Under 25,"46,792",2018,,,,,
1452,America,Canada,25 - 34,"65,351",2018,,,,,
1453,America,Canada,35 - 44,"34,385",2018,,,,,
1454,America,Canada,45 - 54,"35,964",2018,,,,,
1455,America,Canada,55 - 64,"40,383",2018,,,,,
1456,America,Canada,65 and Over,"29,888",2018,,,,,
1457,America,Canada,Total,"252,574",2019,,,,,
1458,America,Canada,Under 25,"44,590",2019,,,,,
1459,America,Canada,25 - 34,"62,790",2019,,,,,
1460,America,Canada,35 - 44,"36,491",2019,,,,,
1461,America,Canada,45 - 54,"35,626",2019,,,,,
1462,America,Canada,55 - 64,"41,513",2019,,,,,
1463,America,Canada,65 and Over,"31,564",2019,,,,,
1464,America,Canada,Total,"55,984",2020,,,,,
1465,America,Canada,Under 25,"6,529",2020,,,,,
1466,America,Canada,25 - 34,"12,833",2020,,,,,
1467,America,Canada,35 - 44,"8,987",2020,,,,,
1468,America,Canada,45 - 54,"7,466",2020,,,,,
1469,America,Canada,55 - 64,"11,209",2020,,,,,
1470,America,Canada,65 and Over,"8,960",2020,,,,,
1471,America,USA,Total,"827,110",2015,,,,,
1472,America,USA,Under 25,"102,185",2015,,,,,
1473,America,USA,25 - 34,"212,328",2015,,,,,
1474,America,USA,35 - 44,"149,646",2015,,,,,
1475,America,USA,45 - 54,"147,685",2015,,,,,
1476,America,USA,55 - 64,"133,227",2015,,,,,
1477,America,USA,65 and Over,"82,039",2015,,,,,
1478,America,USA,Total,"938,862",2016,,,,,
1479,America,USA,Under 25,"165,087",2016,,,,,
1480,America,USA,25 - 34,"263,367",2016,,,,,
1481,America,USA,35 - 44,"144,550",2016,,,,,
1482,America,USA,45 - 54,"135,090",2016,,,,,
1483,America,USA,55 - 64,"127,822",2016,,,,,
1484,America,USA,65 and Over,"102,946",2016,,,,,
1485,America,USA,Total,"1,006,939",2017,,,,,
1486,America,USA,Under 25,"170,661",2017,,,,,
1487,America,USA,25 - 34,"273,691",2017,,,,,
1488,America,USA,35 - 44,"158,399",2017,,,,,
1489,America,USA,45 - 54,"147,578",2017,,,,,
1490,America,USA,55 - 64,"143,683",2017,,,,,
1491,America,USA,65 and Over,"112,927",2017,,,,,
1492,America,USA,Total,"1,096,177",2018,,,,,
1493,America,USA,Under 25,"172,086",2018,,,,,
1494,America,USA,25 - 34,"296,737",2018,,,,,
1495,America,USA,35 - 44,"177,110",2018,,,,,
1496,America,USA,45 - 54,"162,073",2018,,,,,
1497,America,USA,55 - 64,"156,409",2018,,,,,
1498,America,USA,65 and Over,"131,762",2018,,,,,
1499,America,USA,Total,"1,136,210",2019,,,,,
1500,America,USA,Under 25,"173,824",2019,,,,,
1501,America,USA,25 - 34,"279,986",2019,,,,,
1502,America,USA,35 - 44,"188,056",2019,,,,,
1503,America,USA,45 - 54,"175,753",2019,,,,,
1504,America,USA,55 - 64,"170,529",2019,,,,,
1505,America,USA,65 and Over,"148,062",2019,,,,,
1506,America,USA,Total,"208,608",2020,,,,,
1507,America,USA,Under 25,"24,246",2020,,,,,
1508,America,USA,25 - 34,"52,315",2020,,,,,
1509,America,USA,35 - 44,"35,953",2020,,,,,
1510,America,USA,45 - 54,"29,755",2020,,,,,
1511,America,USA,55 - 64,"33,029",2020,,,,,
1512,America,USA,65 and Over,"33,310",2020,,,,,
1513,America,Others in America,Total,"59,161",2015,,,,,
1514,America,Others in America,Under 25,"12,193",2015,,,,,
1515,America,Others in America,25 - 34,"21,443",2015,,,,,
1516,America,Others in America,35 - 44,"10,605",2015,,,,,
1517,America,Others in America,45 - 54,"6,960",2015,,,,,
1518,America,Others in America,55 - 64,"5,217",2015,,,,,
1519,America,Others in America,65 and Over,"2,743",2015,,,,,
1520,America,Others in America,Total,"70,724",2016,,,,,
1521,America,Others in America,Under 25,"11,471",2016,,,,,
1522,America,Others in America,25 - 34,"30,899",2016,,,,,
1523,America,Others in America,35 - 44,"12,859",2016,,,,,
1524,America,Others in America,45 - 54,"6,788",2016,,,,,
1525,America,Others in America,55 - 64,"5,640",2016,,,,,
1526,America,Others in America,65 and Over,"3,067",2016,,,,,
1527,America,Others in America,Total,"80,799",2017,,,,,
1528,America,Others in America,Under 25,"10,433",2017,,,,,
1529,America,Others in America,25 - 34,"35,499",2017,,,,,
1530,America,Others in America,35 - 44,"15,613",2017,,,,,
1531,America,Others in America,45 - 54,"8,478",2017,,,,,
1532,America,Others in America,55 - 64,"6,793",2017,,,,,
1533,America,Others in America,65 and Over,"3,983",2017,,,,,
1534,America,Others in America,Total,"84,478",2018,,,,,
1535,America,Others in America,Under 25,"10,152",2018,,,,,
1536,America,Others in America,25 - 34,"36,195",2018,,,,,
1537,America,Others in America,35 - 44,"16,355",2018,,,,,
1538,America,Others in America,45 - 54,"9,235",2018,,,,,
1539,America,Others in America,55 - 64,"7,679",2018,,,,,
1540,America,Others in America,65 and Over,"4,862",2018,,,,,
1541,America,Others in America,Total,"83,863",2019,,,,,
1542,America,Others in America,Under 25,"9,942",2019,,,,,
1543,America,Others in America,25 - 34,"34,806",2019,,,,,
1544,America,Others in America,35 - 44,"16,845",2019,,,,,
1545,America,Others in America,45 - 54,"9,332",2019,,,,,
1546,America,Others in America,55 - 64,"7,960",2019,,,,,
1547,America,Others in America,65 and Over,"4,978",2019,,,,,
1548,America,Others in America,Total,"15,997",2020,,,,,
1549,America,Others in America,Under 25,"1,900",2020,,,,,
1550,America,Others in America,25 - 34,"6,791",2020,,,,,
1551,America,Others in America,35 - 44,"3,320",2020,,,,,
1552,America,Others in America,45 - 54,"1,817",2020,,,,,
1553,America,Others in America,55 - 64,"1,404",2020,,,,,
1554,America,Others in America,65 and Over,765,2020,,,,,
1555,South Asia,Bangladesh,Total,"109,033",2015,,,,,
1556,South Asia,Bangladesh,Under 25,"20,336",2015,,,,,
1557,South Asia,Bangladesh,25 - 34,"22,622",2015,,,,,
1558,South Asia,Bangladesh,35 - 44,"29,160",2015,,,,,
1559,South Asia,Bangladesh,45 - 54,"21,795",2015,,,,,
1560,South Asia,Bangladesh,55 - 64,"11,584",2015,,,,,
1561,South Asia,Bangladesh,65 and Over,"3,536",2015,,,,,
1562,South Asia,Bangladesh,Total,"103,616",2016,,,,,
1563,South Asia,Bangladesh,Under 25,"22,433",2016,,,,,
1564,South Asia,Bangladesh,25 - 34,"23,112",2016,,,,,
1565,South Asia,Bangladesh,35 - 44,"27,284",2016,,,,,
1566,South Asia,Bangladesh,45 - 54,"18,128",2016,,,,,
1567,South Asia,Bangladesh,55 - 64,"9,174",2016,,,,,
1568,South Asia,Bangladesh,65 and Over,"3,485",2016,,,,,
1569,South Asia,Bangladesh,Total,"125,580",2017,,,,,
1570,South Asia,Bangladesh,Under 25,"25,900",2017,,,,,
1571,South Asia,Bangladesh,25 - 34,"27,553",2017,,,,,
1572,South Asia,Bangladesh,35 - 44,"33,134",2017,,,,,
1573,South Asia,Bangladesh,45 - 54,"22,790",2017,,,,,
1574,South Asia,Bangladesh,55 - 64,"11,834",2017,,,,,
1575,South Asia,Bangladesh,65 and Over,"4,369",2017,,,,,
1576,South Asia,Bangladesh,Total,"125,809",2018,,,,,
1577,South Asia,Bangladesh,Under 25,"25,095",2018,,,,,
1578,South Asia,Bangladesh,25 - 34,"28,289",2018,,,,,
1579,South Asia,Bangladesh,35 - 44,"32,331",2018,,,,,
1580,South Asia,Bangladesh,45 - 54,"23,295",2018,,,,,
1581,South Asia,Bangladesh,55 - 64,"11,898",2018,,,,,
1582,South Asia,Bangladesh,65 and Over,"4,901",2018,,,,,
1583,South Asia,Bangladesh,Total,"139,622",2019,,,,,
1584,South Asia,Bangladesh,Under 25,"30,153",2019,,,,,
1585,South Asia,Bangladesh,25 - 34,"31,750",2019,,,,,
1586,South Asia,Bangladesh,35 - 44,"36,583",2019,,,,,
1587,South Asia,Bangladesh,45 - 54,"24,451",2019,,,,,
1588,South Asia,Bangladesh,55 - 64,"11,701",2019,,,,,
1589,South Asia,Bangladesh,65 and Over,"4,984",2019,,,,,
1590,South Asia,Bangladesh,Total,"22,913",2020,,,,,
1591,South Asia,Bangladesh,Under 25,"4,382",2020,,,,,
